Symbol,Name,Exchange,Sector,Industry,SCTR,Universe,Close,Volume,Market Cap
AORT,"Artivion, Inc.",NYSE,Health Care,Medical Equipment,85.1,sml,19.52,143344,780.8
CLB,Core Laboratories N V,NYSE,Energy,Oil Equipment & Services,17.5,sml,16.94,341781,779.24
CVGW,"Calavo Growers, Inc.",NASD,Consumer Staples,Food Products,85.5,sml,43.14,97301,776.52
WETF,"WisdomTree Investments, Inc.",NASD,Financial,Asset Managers,55.5,sml,5.27,390006,774.69
CUTR,Cutera Inc.,NASD,Health Care,Medical Equipment,89.6,sml,42.59,211262,766.62
BSIG,BrightSphere Investment Group Inc.,NYSE,Financial,Asset Managers,42.7,sml,18.69,235986,766.29
HWKN,"Hawkins Chemical, Inc.",NASD,Materials,Specialty Chemicals,68.6,sml,35.84,33531,752.64
ARR,Armour Residential REIT Inc.,NYSE,Real Estate,Mortgage REITs,57.4,sml,7.18,2230770,739.54
NKTR,Nektar Therapeutics,NASD,Health Care,Biotechnology,10.6,sml,3.97,1600588,738.42
SPNT,SiriusPoint Ltd.,NYSE,Financial,Reinsurance,14.6,sml,4.55,453549,737.1
PBI,"Pitney Bowes, Inc.",NYSE,Industrial,Business Support Services,38.8,sml,4.21,1367815,728.33
UHT,Universal Health Realty Income Trust,NYSE,Real Estate,Specialty REITs,63.4,sml,51.93,36904,727.02
HSTM,"HealthStream, Inc.",NASD,Health Care,Health Care Providers,86.8,sml,23.4,49325,725.4
HMST,"HomeStreet, Inc.",NASD,Financial,Banks,42.6,sml,37.66,112287,715.54
HAFC,Hanmi Financial Corp.,NASD,Financial,Banks,82.1,sml,23.85,86817,715.5
ORGO,Organogenesis Holdings Inc.,NASD,Health Care,Medical Supplies,29.8,sml,5.5,372905,709.5
ROCC,Ranger Oil Corporation,NASD,Energy,Exploration & Production,85.5,sml,33.72,301328,708.12
ATNI,"ATN International, Inc.",NASD,Communication Services,Mobile Telecommunications,86.2,sml,44.25,34146,708
LQDT,Liquidity Services Inc.,NASD,Consumer Discretionary,Broadline Retailers,95,sml,19.47,221581,700.92
UBA,Urstadt Biddle Properties Inc.,NYSE,Real Estate,Retail REITs,75.4,sml,17.47,137466,698.8
CSII,"Cardiovascular Systems, Inc.",NASD,Health Care,Medical Equipment,60.4,sml,16.57,202890,679.37
AVD,American Vanguard Corp.,NYSE,Materials,Specialty Chemicals,93.7,sml,21.85,129800,677.35
EBIX,"ebix.com, Inc.",NASD,Technology,Software,42.7,sml,21.83,359135,676.73
CHS,"Chicos FAS, Inc.",NYSE,Consumer Discretionary,Apparel Retailers,91.9,sml,5.41,1892299,676.25
NFBK,"Northfield Bancorp, Inc.",NASD,Financial,Banks,64.7,sml,13.77,92349,674.73
EGHT,"8x8, Inc.",NYSE,Communication Services,Fixed Telecommunications,9.7,sml,5.66,2288320,673.54
FBRT,Franklin BSP Realty Trust Inc.,NYSE,Real Estate,Mortgage REITs,90.1,sml,15.29,375233,672.76
VTOL,Bristow Group Inc.,NYSE,Energy,Oil Equipment & Services,32.9,sml,23.93,101179,670.04
TREE,"LendingTree, Inc.",NASD,Financial,Mortgage Finance,11,sml,51.51,162790,669.63
RGP,Resources Connection Inc.,NASD,Industrial,Business Support Services,92.1,sml,20.19,178755,666.27
HCI,"HCI Group, Inc.",NYSE,Financial,Property-Casualty Insurance,62.2,sml,66,42424,660
IIIN,"Insteel Industries, Inc.",NYSE,Industrial,Building Materials,44.2,sml,34.46,718771,654.74
LPG,Dorian LPG Ltd.,NYSE,Energy,Oil Equipment & Services,97.1,sml,16.27,315712,650.8
VVI,Viad Corp.,NYSE,Industrial,Business Support Services,63.3,sml,30.92,100932,649.32
SCVL,"Shoe Carnival, Inc.",NASD,Consumer Discretionary,Apparel Retailers,30.8,sml,23.16,244910,648.48
